Date,Time,sk-nor-101-sip2.ad.ic.ac.uk_Device_1,sk-53pg-101-sip1.ad.ic.ac.uk_Device_2,sk-58pg-101-sip1.ad.ic.ac.uk_Device_3,sk-58pg-101-sip1.ad.ic.ac.uk_Device_2,sk-ec-101-sip1.ad.ic.ac.uk_Device_27,sk-est-102-sip1.ad.ic.ac.uk_Device_1,sk-ec-101-sip1.ad.ic.ac.uk_Device_66,sk-ec-101-sip1.ad.ic.ac.uk_Device_26,sk-ace-103-sip1.ad.ic.ac.uk_Device_1,sk-ace-103-sip1.ad.ic.ac.uk_Device_2,sk-she-101-sip2.ad.ic.ac.uk_Device_5,sk-sou-102-sip1.ad.ic.ac.uk_Device_1
19/12/31,23:30:00,0.0,0.0,0.18000000000029104,1.8999999999941792,0.0,0.0,1010.0,860.0,0.0,0.0,0.0,1.0
19/12/31,24:00:00,0.0,0.0,0.2899999999999636,1.900000000023283,0.0,0.0,970.0,830.0,0.0,0.0,0.0,1.0
20/01/01,00:30:00,0.0,0.0,0.19000000000050932,1.8999999999941792,0.0,0.0,1030.0,880.0,0.0,0.0,0.0,0.0
20/01/01,01:00:00,0.0,0.0,0.1999999999998181,1.8999999999941792,0.0,0.0,980.0,830.0,0.0,0.0,0.0,0.0
20/01/01,01:30:00,0.0,0.0,0.1999999999998181,1.7000000000116415,0.0,0.0,1010.0,860.0,0.0,0.0,0.0,0.0
20/01/01,02:00:00,0.0,0.0,0.2600000000002183,2.0,0.0,0.0,990.0,840.0,0.0,0.0,0.0,1.0
20/01/01,02:30:00,0.0,0.0,0.18999999999959982,2.0,0.0,0.0,990.0,850.0,0.0,0.0,0.0,0.0
20/01/01,03:00:00,0.0,0.0,0.1999999999998181,1.6999999999825377,0.0,0.0,1040.0,880.0,0.0,0.0,0.0,0.0
20/01/01,03:30:00,0.0,0.0,0.19000000000050932,1.8999999999941792,0.0,0.0,1040.0,890.0,0.0,0.0,0.0,0.0
20/01/01,04:00:00,0.0,0.0,0.18999999999959982,2.0,0.0,0.0,1110.0,940.0,0.0,0.0,0.0,1.0
20/01/01,04:30:00,0.0,0.0,0.28000000000065484,1.8000000000174623,0.0,0.0,1100.0,940.0,0.0,0.0,0.0,0.0
20/01/01,05:00:00,0.0,0.0,0.18999999999959982,2.2999999999883585,0.0,0.0,1120.0,930.0,0.0,0.0,0.0,0.0
20/01/01,05:30:00,0.0,0.0,0.18999999999959982,2.0,0.0,0.0,1110.0,970.0,0.0,0.0,0.0,0.0
20/01/01,06:00:00,0.0,0.0,0.22000000000025466,1.5,0.0,0.0,1170.0,990.0,0.0,0.0,0.0,1.0
20/01/01,06:30:00,0.0,0.0,0.25,2.2000000000116415,0.0,0.0,1260.0,1080.0,0.0,0.0,0.0,6.0
20/01/01,07:00:00,0.0,0.0,0.19000000000050932,1.7999999999883585,0.0,0.0,1340.0,1140.0,0.0,0.0,0.0,6.0
20/01/01,07:30:00,0.0,0.0,0.1999999999998181,1.8000000000174623,0.0,0.0,1300.0,1110.0,0.0,0.0,0.0,4.0
20/01/01,08:00:00,0.0,0.0,0.18999999999959982,2.0,0.0,0.0,1310.0,1110.0,0.0,0.0,0.0,4.0
20/01/01,08:30:00,0.0,0.0,0.1999999999998181,1.8999999999941792,0.0,0.0,1300.0,1110.0,0.0,0.0,0.0,3.0
20/01/01,09:00:00,0.0,0.0,0.27000000000043656,2.0,0.0,0.0,1330.0,1140.0,0.0,0.0,0.0,4.0
20/01/01,09:30:00,0.0,0.0,0.18999999999959982,1.6999999999825377,0.0,0.0,1290.0,1100.0,0.0,0.0,0.0,3.0
20/01/01,10:00:00,0.0,0.0,0.2600000000002183,2.1000000000058208,0.0,0.0,1290.0,1100.0,0.0,0.0,0.0,4.0
20/01/01,10:30:00,0.0,0.0,0.18000000000029104,1.8999999999941792,0.0,0.0,1300.0,1110.0,0.0,0.0,0.0,3.0
20/01/01,11:00:00,0.0,0.0,0.3000000000001819,1.900000000023283,0.0,0.0,1270.0,1090.0,0.0,0.0,0.0,4.0
20/01/01,11:30:00,0.0,0.0,0.1999999999998181,1.8999999999941792,0.0,0.0,1290.0,1120.0,0.0,0.0,0.0,4.0
20/01/01,12:00:00,0.0,0.0,0.38000000000010914,2.0,0.0,0.0,1290.0,1080.0,0.0,0.0,0.0,3.0
20/01/01,12:30:00,0.0,0.0,0.27999999999974534,1.8999999999941792,0.0,0.0,1260.0,1080.0,0.0,0.0,0.0,4.0
20/01/01,13:00:00,0.0,0.0,0.1999999999998181,2.1000000000058208,0.0,0.0,1300.0,1110.0,0.0,0.0,0.0,3.0
20/01/01,13:30:00,0.0,0.0,0.25,2.0,0.0,0.0,1290.0,1100.0,0.0,0.0,0.0,4.0
20/01/01,14:00:00,0.0,0.0,0.19000000000050932,2.1000000000058208,0.0,0.0,1260.0,1100.0,0.0,0.0,0.0,3.0
20/01/01,14:30:00,0.0,0.0,0.18999999999959982,1.8999999999941792,0.0,0.0,1290.0,1090.0,0.0,0.0,0.0,4.0
20/01/01,15:00:00,0.0,0.0,0.1999999999998181,1.7999999999883585,0.0,0.0,1270.0,1080.0,0.0,0.0,0.0,3.0
20/01/01,15:30:00,0.0,0.0,0.21000000000003638,1.8000000000174623,0.0,0.0,1270.0,1090.0,0.0,0.0,0.0,4.0
20/01/01,16:00:00,0.0,0.0,0.2600000000002183,2.1999999999825377,0.0,0.0,1260.0,1070.0,0.0,0.0,0.0,3.0
